"Kod";"Nazwa";"łóżka w szpitalach ogólnych;2018;[-]";"łóżka w szpitalach ogólnych;2019;[-]";"łóżka w szpitalach ogólnych;2020;[-]";"łóżka w szpitalach ogólnych;2021;[-]";"łóżka w szpitalach ogólnych;2022;[-]";"łóżka w szpitalach ogólnych;2023;[-]";
3064000;"Powiat m. Poznań";5643;5158;5097;5090;5514;5506;
3201000;"Powiat białogardzki";168;168;168;168;196;239;
3202000;"Powiat choszczeński";387;317;317;317;307;307;
3203000;"Powiat drawski";290;227;227;223;242;238;
3204000;"Powiat goleniowski";228;184;174;174;174;174;
3205000;"Powiat gryficki";315;284;284;279;274;282;
3206000;"Powiat gryfiński";86;53;49;46;52;52;
3207000;"Powiat kamieński";82;31;31;23;26;23;
3208000;"Powiat kołobrzeski";413;393;411;413;393;369;
3210000;"Powiat myśliborski";230;172;167;165;165;171;
3211000;"Powiat policki";162;146;150;137;143;130;
3212000;"Powiat pyrzycki";87;65;65;65;65;65;
3213000;"Powiat sławieński";148;83;119;134;103;99;
3214000;"Powiat stargardzki";272;246;241;239;226;226;
3215000;"Powiat szczecinecki";222;192;186;181;223;218;
3216000;"Powiat świdwiński";104;64;61;50;50;50;
3217000;"Powiat wałecki";286;286;276;272;210;230;
3261000;"Powiat m. Koszalin";739;604;580;625;619;581;
3262000;"Powiat m. Szczecin";3506;3249;3283;3429;3231;3067;
3263000;"Powiat m. Świnoujście";117;112;112;112;110;110;
