"Kod";"Nazwa";"ogółem;2018;[osoba]";"ogółem;2019;[osoba]";"ogółem;2020;[osoba]";"ogółem;2021;[osoba]";"ogółem;2022;[osoba]";"ogółem;2023;[osoba]";
1610000;"Powiat prudnicki";108;108;107;108;108;108;
1611000;"Powiat strzelecki";105;105;105;105;105;105;
1661000;"Powiat m. Opole";112;112;114;114;114;114;
1801000;"Powiat bieszczadzki";103;103;103;103;103;104;
1802000;"Powiat brzozowski";102;102;102;103;102;102;
1803000;"Powiat dębicki";102;102;102;102;102;102;
1804000;"Powiat jarosławski";105;105;105;105;105;105;
1805000;"Powiat jasielski";103;103;103;103;104;104;
1806000;"Powiat kolbuszowski";101;101;101;101;101;101;
1807000;"Powiat krośnieński";103;103;103;103;103;103;
1808000;"Powiat leżajski";102;102;103;102;103;103;
1809000;"Powiat lubaczowski";101;101;101;101;101;102;
1810000;"Powiat łańcucki";104;103;104;103;103;103;
1811000;"Powiat mielecki";103;103;103;103;103;103;
1812000;"Powiat niżański";102;102;103;103;103;103;
1813000;"Powiat przemyski";99;99;100;100;100;100;
1814000;"Powiat przeworski";103;103;103;104;103;103;
1815000;"Powiat ropczycko-sędziszowski";102;102;102;102;102;102;
1816000;"Powiat rzeszowski";103;103;102;102;102;102;
1817000;"Powiat sanocki";104;104;105;105;105;105;
1818000;"Powiat stalowowolski";106;106;106;106;106;106;
1819000;"Powiat strzyżowski";102;102;102;101;102;102;
1820000;"Powiat tarnobrzeski";103;104;104;104;104;104;
1821000;"Powiat leski";102;102;103;103;103;103;
1861000;"Powiat m. Krosno";112;112;112;112;112;112;
1862000;"Powiat m. Przemyśl";113;113;114;114;114;113;
1863000;"Powiat m. Rzeszów";111;111;111;110;111;111;
1864000;"Powiat m. Tarnobrzeg";109;109;110;110;110;110;
2001000;"Powiat augustowski";104;104;105;105;105;105;
2002000;"Powiat białostocki";103;103;103;103;103;103;
2003000;"Powiat bielski";102;102;103;103;103;103;
2004000;"Powiat grajewski";101;102;102;102;103;103;
2005000;"Powiat hajnowski";106;106;107;107;107;107;
2006000;"Powiat kolneński";100;100;99;99;99;99;
2007000;"Powiat łomżyński";98;98;98;98;98;98;
2008000;"Powiat moniecki";101;101;102;101;101;102;
2009000;"Powiat sejneński";100;101;101;101;101;101;
2010000;"Powiat siemiatycki";103;104;104;104;104;104;
2011000;"Powiat sokólski";102;102;102;103;103;103;
2012000;"Powiat suwalski";96;96;96;95;96;96;
2013000;"Powiat wysokomazowiecki";98;98;99;99;99;99;
2014000;"Powiat zambrowski";102;102;102;101;101;101;
2061000;"Powiat m. Białystok";113;113;113;113;113;113;
2062000;"Powiat m. Łomża";110;110;110;110;111;111;
2063000;"Powiat m. Suwałki";109;109;109;109;110;109;
2201000;"Powiat bytowski";101;101;100;100;101;101;
2202000;"Powiat chojnicki";102;103;103;103;103;103;
2203000;"Powiat człuchowski";102;102;102;103;103;103;
2204000;"Powiat gdański";104;104;103;103;103;103;
2205000;"Powiat kartuski";100;100;100;100;100;100;
2206000;"Powiat kościerski";100;100;100;100;101;101;
2207000;"Powiat kwidzyński";102;102;102;102;102;103;
2208000;"Powiat lęborski";103;103;104;104;105;105;
2209000;"Powiat malborski";105;105;105;105;105;106;
2210000;"Powiat nowodworski";101;101;101;101;101;101;
2211000;"Powiat pucki";102;102;102;103;103;103;
2212000;"Powiat słupski";100;100;101;100;100;100;
2213000;"Powiat starogardzki";103;103;103;103;103;103;
2214000;"Powiat tczewski";103;103;104;104;104;104;
2215000;"Powiat wejherowski";102;102;102;103;103;103;
2216000;"Powiat sztumski";101;101;100;100;100;101;
2261000;"Powiat m. Gdańsk";111;111;111;111;111;111;
2262000;"Powiat m. Gdynia";112;112;112;113;113;113;
2263000;"Powiat m. Słupsk";112;112;114;114;115;115;
2264000;"Powiat m. Sopot";115;115;118;119;119;118;
2401000;"Powiat będziński";110;110;109;110;109;109;
2402000;"Powiat bielski";105;105;104;105;104;104;
2403000;"Powiat cieszyński";106;106;106;106;106;106;
2404000;"Powiat częstochowski";104;104;104;104;104;104;
2405000;"Powiat gliwicki";106;106;106;106;106;106;
2406000;"Powiat kłobucki";103;103;103;103;103;103;
2407000;"Powiat lubliniecki";103;104;103;103;103;103;
2408000;"Powiat mikołowski";106;106;106;106;105;106;
2409000;"Powiat myszkowski";107;107;108;108;108;108;
2410000;"Powiat pszczyński";105;105;104;104;104;104;
2411000;"Powiat raciborski";108;108;108;108;108;108;
