Kod;Stopa bezrobocia;Ludność w miastach;Saldo migracji;Dochody własne gminy per capita;Miesięczne wynagrodzenie brutto w relacji do średniej krajowej;Ludność na aptekę;Łóżka w szpitalach ogólnych;Współczynnik feminizacji;Mediana wieku
262000;4.914285714285714;100.0;-0.3997678229463232;1.0112625875368597;90.2;-1.2242720613003881;0.12915680256963533;1.117;44.0
264000;1.8142857142857143;100.0;3.825134643527716;3.1593089544275013;110.7;-0.8849402870910792;4.566250249988505;1.133;40.4
265000;5.057142857142857;100.0;-0.4217426661685988;0.8063237401068264;100.0;-0.8569581131094024;0.30917650709312855;1.128;46.2
401000;12.271428571428572;44.15833333333333;-0.007246166838283566;-0.41115663653951756;76.8;-0.4793904230826654;-0.3325545126246009;1.058;42.7
402000;7.085714285714287;43.02;-0.1015150595019588;-0.549587027822446;77.7;0.571091053585632;-0.3243910749047488;1.015;39.5
403000;4.057142857142858;21.596666666666664;1.4676161369640137;0.4895799796853141;86.1;1.1111853431771779;-0.44048152040134775;1.02;40.0
404000;12.428571428571427;37.33166666666666;-0.1895736703854257;-0.7195039805703656;79.9;2.061237647472881;-0.3691309543564061;1.043;40.9
405000;10.799999999999999;36.163333333333334;-0.17651615484755176;-0.6429419205870703;88.7;0.8282012343830268;-0.33965776362758915;1.02;40.2
406000;11.785714285714286;12.57;-0.05533604113630708;-0.02282237847128716;82.9;2.2158104099127613;-0.4592468252898391;1.0;40.2
407000;11.471428571428572;64.245;-0.5984968399129899;-0.00857056643976452;82.5;-0.019217822192210854;-0.01471053490879832;1.067;43.2
408000;14.714285714285714;30.238333333333333;-0.28782351290820885;-0.9382527233797813;73.5;-0.3253926368204913;-0.22102287001051676;1.01;40.2
409000;10.099999999999998;37.788333333333334;-0.1545413116252761;-0.3042128067215808;80.1;0.22112222008876814;-0.37761244809131744;1.042;41.9
410000;11.0;42.415;-0.24849172830022273;-0.7224869179723125;81.9;0.6631830713814938;-0.34919944407936443;1.02;40.4
411000;16.357142857142858;24.570000000000004;-0.24180373253692145;-0.7559621043719349;77.7;-0.9430128810393543;-0.26120394657965923;1.023;43.3
412000;10.057142857142859;37.431666666666665;-0.1720574910053509;-0.7016063561586863;77.0;1.3353302231194462;-0.35587862039560714;1.028;41.4
413000;11.571428571428573;42.88166666666666;-0.18766281445305388;-0.7672309790015112;77.7;-0.16430347769994652;-0.3571508444558438;1.005;40.4
