"Kod";"Nazwa";"ogółem;2018;[-]";"ogółem;2019;[-]";"ogółem;2020;[-]";"ogółem;2021;[-]";"ogółem;2022;[-]";"ogółem;2023;[-]";
1465000;"Powiat m. st. Warszawa";41,5;41,7;40,1;40,4;40,7;41,2;
1601000;"Powiat brzeski";41,3;41,8;42,4;42,7;43,2;43,8;
1602000;"Powiat głubczycki";43,2;43,6;44,7;45,0;45,4;45,8;
1603000;"Powiat kędzierzyńsko-kozielski";43,9;44,3;44,6;45,0;45,4;45,9;
1604000;"Powiat kluczborski";42,1;42,6;43,4;43,8;44,3;44,8;
1605000;"Powiat krapkowicki";42,8;43,2;43,2;43,7;44,1;44,6;
1606000;"Powiat namysłowski";40,8;41,3;41,7;42,1;42,6;43,1;
1607000;"Powiat nyski";42,7;43,1;44,0;44,4;44,9;45,4;
1608000;"Powiat oleski";42,7;43,2;43,7;44,0;44,4;44,8;
1609000;"Powiat opolski";42,9;43,3;43,1;43,5;43,9;44,3;
1610000;"Powiat prudnicki";42,4;42,7;43,3;43,6;44,0;44,5;
1611000;"Powiat strzelecki";42,4;42,8;42,6;42,9;43,3;43,8;
1661000;"Powiat m. Opole";43,3;43,7;43,0;43,3;43,8;44,2;
1801000;"Powiat bieszczadzki";40,6;41,2;41,9;42,4;43,1;43,7;
1802000;"Powiat brzozowski";39,1;39,6;40,4;40,7;41,2;41,8;
1803000;"Powiat dębicki";38,9;39,4;40,0;40,4;40,9;41,5;
1804000;"Powiat jarosławski";39,7;40,2;40,9;41,4;41,9;42,5;
1805000;"Powiat jasielski";40,8;41,3;42,1;42,4;42,9;43,6;
1806000;"Powiat kolbuszowski";39,0;39,5;39,8;40,2;40,6;41,2;
1807000;"Powiat krośnieński";39,8;40,2;41,0;41,4;41,9;42,5;
1808000;"Powiat leżajski";39,7;40,2;40,8;41,2;41,7;42,2;
1809000;"Powiat lubaczowski";40,5;41,0;41,9;42,3;42,9;43,5;
1810000;"Powiat łańcucki";39,0;39,3;39,6;40,0;40,3;40,8;
1811000;"Powiat mielecki";39,5;40,0;40,5;41,0;41,4;41,9;
1812000;"Powiat niżański";40,0;40,5;41,3;41,7;42,2;42,8;
1813000;"Powiat przemyski";38,9;39,4;40,2;40,7;41,2;41,8;
1814000;"Powiat przeworski";39,5;39,9;40,5;40,9;41,4;41,9;
1815000;"Powiat ropczycko-sędziszowski";38,2;38,6;38,9;39,2;39,6;40,2;
1816000;"Powiat rzeszowski";38,6;38,9;38,9;39,2;39,6;40,1;
1817000;"Powiat sanocki";40,9;41,4;42,2;42,6;43,2;43,8;
1818000;"Powiat stalowowolski";41,7;42,3;42,8;43,3;43,9;44,5;
1819000;"Powiat strzyżowski";39,8;40,3;41,0;41,4;41,9;42,4;
1820000;"Powiat tarnobrzeski";41,0;41,4;42,0;42,4;42,9;43,4;
1821000;"Powiat leski";41,5;42,0;42,6;43,1;43,7;44,3;
1861000;"Powiat m. Krosno";42,7;43,3;43,9;44,3;44,9;45,4;
1862000;"Powiat m. Przemyśl";43,2;43,8;44,8;45,3;46,0;46,6;
1863000;"Powiat m. Rzeszów";38,9;39,1;39,1;39,4;39,8;40,3;
1864000;"Powiat m. Tarnobrzeg";44,0;44,5;45,3;45,8;46,3;47,0;
2001000;"Powiat augustowski";41,3;41,7;42,5;42,9;43,3;43,9;
2002000;"Powiat białostocki";40,5;40,8;41,0;41,2;41,5;41,8;
2003000;"Powiat bielski";43,8;44,0;44,7;44,8;45,2;45,6;
2004000;"Powiat grajewski";40,4;40,9;41,7;42,1;42,6;43,3;
2005000;"Powiat hajnowski";46,8;47,1;48,1;48,2;48,5;48,9;
2006000;"Powiat kolneński";39,6;40,1;40,8;41,2;41,6;42,1;
